Strategic,,All,
X,Y,X,Y
100,0.0002036659877800301,100,0.020977596741344195
102.51851851851852,0.0002036659877800301,102.51851851851852,0.024399185336048873
106.81481481481481,0.0006924643584521328,106.81481481481481,0.030753564154786153
111.85185185185185,0.003869653767820752,111.85185185185185,0.03930753564154786
116.88888888888889,0.007046843177189399,116.81481481481481,0.047128309572301415
124.14814814814815,0.013401221995926665,124.14814814814815,0.05592668024439918
134.37037037037038,0.020488798370672093,134.37037037037038,0.06374745417515275
144.29629629629628,0.027331975560081462,144.29629629629628,0.0710794297352342
154.22222222222223,0.03393075356415477,154.22222222222223,0.07743380855397149
168.2962962962963,0.04077393075356414,168.2962962962963,0.08232179226069246
188.14814814814812,0.04566191446028513,188.29629629629628,0.08281059063136456
207.85185185185182,0.049327902240325856,207.85185185185182,0.07987780040733197
